county,officer_names,address,phone,fax,email,website,hours,also_serves,geo_tag
Asotin,Asotin County Veterans Resources,,509-758-4219 Ext 1,,mjanowski@asotincountywa.gov,https://www.co.asotin.wa.us/334/Veterans-Assistance-Programs,,Asotin County Veterans Resources,wa_53003
Benton,Benton & Franklin County Veteran Service Officer,"Columbia Basin Veterans Center, 1020 S 7th AVE, Pasco, Washington 99301",(509) 572-0184,,david.aguilar@co.benton.wa.us,https://www.co.benton.wa.us/pview.aspx?id=55251&catID=0,,Benton & Franklin County Veteran Service Officer (also serves: Franklin),wa_53005
Chelan,Chelan County Veterans Assistance Programs,,(509) 664-6801,,,https://www.co.chelan.wa.us/veterans-program/pages/veteran-service-offices,,Chelan County Veterans Assistance Programs,wa_53007
Clallam,Clallam County Veterans Resource Center,,360-797-1791,,nwvrc@outlook.com,https://www.clallamcountywa.gov/224/Northwest-Veterans-Resource-Center,,Clallam County Veterans Resource Center,wa_53009
Clark,VFW - Veterans of Foreign War at Vancouver VA Hospital,"1601 E 4th Plain Blvd, Bldg. 17, Ste A142, Vancouver, Washington 98661",360-695-6414,,vancouvervso@vfwwa.org,https://vfwwa.org/di/vfw/v2/default.asp?pid=84307,,VFW - Veterans of Foreign War at Vancouver VA Hospital,wa_53011
Clark,Vietnam Veterans of America,"907 Harney ST STE 200, Vancouver, Washington 98660",360-693-7030,,darpvva.vso@gmail.com,https://vva.org/what-we-do/veteran-services/service-officer-locator/?gmw_post=service-officers&gmw_address%5B%5D=&gmw_state=Washington&gmw_distance=100&gmw_units=imperial&gmw_form=6&gmw_per_page=-1&gmw_lat=&gmw_lng=&gmw_px=pt&action=gmw_post,,Vietnam Veterans of America,wa_53011
Cowlitz,Vietnam Veterans of America,"1801 9th AVE, Longview, Washington 98632",360-749-2016,,rblackvva.vso@gmail.com,https://vva.org/what-we-do/veteran-services/service-officer-locator/?post%5B0%5D=service-officers&address%5B0%5D&per_page=10&lat&lng&country&form=6&action=fs&units=imperial&state=Washington,,Vietnam Veterans of America,wa_53015
Douglas,Douglas County Veteran Service Officer,"110 2nd Street NE, East Wenatchee, Washington 98802",509-888-3193,,vso@co.douglas.wa.us,https://ncwveterans.info/resources/douglas-county-veteran-service-officer/,,Douglas County Veteran Service Officer,wa_53017
Ferry,Stevens County Veterans Resources,"232 Williams Lake Rd., Colville, Washington 99114",(509) 685-2837,,vso@stevenscountywa.gov,https://stevenscountywa.gov/pview.aspx?id=20846&catid=0,Monday through Friday 8:00 a.m. to 4:00 p.m.,Stevens County Veterans Resources (also serves: Pend Oreille; Stevens),wa_53019
Franklin,Benton & Franklin County Veteran Service Officer,"Columbia Basin Veterans Center, 1020 S 7th AVE, Pasco, Washington 99301",(509) 572-0184,,david.aguilar@co.benton.wa.us,https://www.co.benton.wa.us/pview.aspx?id=55251&catID=0,,Benton & Franklin County Veteran Service Officer (also serves: Benton),wa_53021
Grant,Grant County Veterans Services,"1008 W Ivy AVE, Moses Lake, Washington 98837",509-764-6325,,,https://www.grantcountywa.gov/409/Veterans-Services,,Grant County Veterans Services,wa_53025
Grays Harbor,Vietnam Veterans of America,,360-581-5153,,jdaly0609@gmail.com,https://vva.org/what-we-do/veteran-services/service-officer-locator/?gmw_post=service-officers&gmw_address%5B%5D=&gmw_state=Washington&gmw_distance=100&gmw_units=imperial&gmw_form=6&gmw_per_page=-1&gmw_lat=&gmw_lng=&gmw_px=pt&action=gmw_post,,Vietnam Veterans of America,wa_53027
Grays Harbor,Vietnam Veterans of America,"953 Trent CT SE, Ocean Shores, Washington 98569",360-940-9008,,retiredvance@gmail.com,https://vva.org/what-we-do/veteran-services/service-officer-locator/?gmw_post=service-officers&gmw_address%5B%5D=&gmw_state=Washington&gmw_distance=100&gmw_units=imperial&gmw_form=6&gmw_per_page=-1&gmw_lat=&gmw_lng=&gmw_px=pt&action=gmw_post,,Vietnam Veterans of America,wa_53027
Island,Island County Veterans Services,,"360-632-7328 Veterans Services Coordinator, 360-632-2496 Veterans Service Officer",,"t.howard@islandcountywa.gov, z.commet@islandcountywa.gov",https://www.islandcountywa.gov/200/Veterans-Assistance,,Island County Veterans Services,wa_53029
King,African American Post Traumatic Stress Disorder Assocation,"Lakewood, Washington",253-589-0766,,,https://aaptsda.org/,,African American Post Traumatic Stress Disorder Assocation (Statewide; also serves: Pierce),wa_53033
King,American Legion,"Seattle VA Medical Center, 1660 S Columbian Way, Building 1 Room 108, Seattle, Washington 98108",206-768-5359,,sean.contreras@va.gov,https://walegion.org/DSO/,,American Legion,wa_53033
King,American Legion,,206-341-8262,,sean.contreras@va.gov,https://walegion.org/dso/,,American Legion (also serves: Kitsap),wa_53033
King,Paralyzed Veterans of America,"1660 S Columbian Way, Room 1-B-163, Seattle, Washington 98108",206-768-5415,,,https://pva.org/,,Paralyzed Veterans of America (Statewide),wa_53033
King,Paralyzed Veterans of America,"915 Second AVE Room 1054, Seattle, Washington 98174",206-341-8210,,,https://pva.org/find-support/national-service-office/?aliaspath=%2ffind-support%2fnational-service-office,,Paralyzed Veterans of America (Statewide),wa_53033
King,Veterans of Foreign Wars,"VA Regional Office, 915 2nd AVE Room 1044, Seattle, Washington 98174",206-341-8284,,vfw.vbasea@va.gov,https://vfwwa.org/di/vfw/v2/default.asp?pid=84307,,Veterans of Foreign Wars,wa_53033
King,Veterans of Foreign Wars,"VA Medical Center, 1660 S Columbian Way Room 108, Seattle, Washington 98108",206-768-5359,,kenneth.walters@va.gov,https://vfwwa.org/di/vfw/v2/default.asp?pid=84307,,Veterans of Foreign Wars,wa_53033
King,Vietnam Veterans of America,,206-341-8294,,jeannie.ebert@va.gov,https://vva.org/what-we-do/veteran-services/service-officer-locator/?gmw_post=service-officers&gmw_address%5B%5D=&gmw_state=Washington&gmw_distance=100&gmw_units=imperial&gmw_form=6&gmw_per_page=-1&gmw_lat=&gmw_lng=&gmw_px=pt&action=gmw_post,,Vietnam Veterans of America,wa_53033
