county,officer_names,address,phone,fax,email,website,hours,also_serves,geo_tag
Adams,Richard Schlichtmann; Terrence Salat,"108 E. North Street, Suite 4, Friendship, WI 53934, P.O. Box 474",608-339-4221,608-339-4574,richard.schlichtmann@co.adams.wi.us; adamsvso@co.adams.wi.us; terrence.salat@co.adams.wi.us,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55001
Ashland,John Itzin; Lori Lundquist,"Courthouse, Rm 105,, 201 W. Main St., Ashland, WI 54806",715-682-7011,715-682-7931,veterans@ashlandcountywi.gov,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55003
Bad River Band of Lake Superior Chippewa (Tribal),Dan Mayotte,"73430 US Hwy. 2, Odanah, WI  54681, PO Box 39",715-292-4483,,tvso@badriver-nsn.gov,https://wicvso.org/locate-your-cvso-tvso/,,,
Barron,Scott Bachowski; Shellie Shaw,"335 East Monroe ve., Room 103, Barron, WI 54812",715-537-6290,715-537-6237,scott.bachowski@co.barron.wi.us; shellie.shaw@co.barron.wi.us,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55005
Bayfield,Jeremy Bates; Jeremy Walworth,"Courthouse Annex, P.O. Box 367, Washburn, WI 54891",715-373-6137,715-979-5226,jeremy.bates@bayfieldcounty.wi.gov; veteransservice@bayfieldcounty.wi.gov; jeremy.walworth@bayfieldcounty.wi.gov,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55007
Brown,"305 E. Walnut, RM 300; Melisa Young -; Joe Laivell; Mike Keon; Alexx Schultz","Green Bay, WI 54305-3600, PO Box 23600",920-448-4450,920-448-4322,bc.veterans@browncountywi.gov; bc.veterans@browncountywi.gov; bc.veterans@browncountywi.gov; bc.veterans@browncountywi.gov,https://www.facebook.com/BrownCVSO/,,,wi_55009
Buffalo,Felicia Decker; Lori Smolen,"Courthouse,, 407 S. Second St.,, Alma, WI 54610, PO Box 492",608-685-6219; 608-685-6283,608-685-6242,felicia.decker@buffalocountywi.gov; lori.smolen@buffalocountywi.gov,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55011
Burnett,"Ella Parker; Angie Heyer, Administrative","7410 County Rd. K #128, Siren, WI 54872",715-349-2179,715-349-8644,aparker@burnettcounty.org; cvso@burnettcounty.org; aheyer@burnettcounty.org,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55013
Calumet,Michelle Wynveen; Kevin Sentieri,"Courthouse,, 206 Court St., Chilton, WI 53014-1198",920-849-1452,920-849-1635,michelle.wynveen@calumetcounty.org; kevin.sentieri@calumetcounty.org,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55015
Chippewa,Peter Johnston; Rainy Foiles,"Courthouse, 711 Bridge St., Chippewa Falls, WI 54729",715-726-7990,715-726-7821,veterans@chippewacountywi.gov,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55017
Clark,Aaron Greisen; Jill Pollert,"Courthouse, 517 Court St., Rm. 304, Neillsville, WI 54456-1902",715-743-5160,715-743-5214,aaron.greisen@co.clark.wi.us; jill.pollert@co.clark.wi.us,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55019
Columbia,"Rebekka Cary; Kent Telford; Jessica Ethington, Administrative","Columbia County Veterans Service Office, 112 East Edgewater St., Portage, WI 53901-2213",608-742-9618,608-742-9634,rebekka.cary@columbiacountywi.gov; kent.telford@columbiacountywi.gov; jessica.ethington@columbiacountywi.gov,http://www.facebook.com/columbiacountyveterans,,,wi_55021
Crawford,"Laura Moore; Cindy Jelinek, Administrative","Crawford County Veterans Service Office, 225 North Beaumont Road Suite 137, Prairie du Chien, WI 53821-1929",608-326-0204,608-326-0292,lmoore@co.crawford.wi.gov; cjelinek@co.crawford.wi.gov,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55023
Dane,Dan Connery; Bridgette Nelson; Janelle Gallatin; Amanda Culbertson; Shannon (Shay) Truitt; Joshua Hameister; William (Will) Button; John Harmon; Pam Lange,"1709 Aberg Ave, Suite 2, Madison, WI 53704",608-266-4158,608-266-4156,connery.daniel@danecounty.gov; nelson.bridgette@danecounty.gov; gallatin.janelle@danecounty.gov; culbertson.amanda@danecounty.gov; truitt.shannon@danecounty.gov; hameister.joshua@danecounty.gov; Button.William@danecounty.gov; harmon.john@danecounty.gov; lange.pamela@danecounty.gov,http://www.danevets.com,,,wi_55025
Dodge,Katlynn Rhyner; Jessica Bull; Vacant,"199 County Road DF, Juneau, WI 53039-1330",920-386-3798,920-386-3271,krhyner@co.dodge.wi.us; jbull@co.dodge.wi.us; VeteransOffice@co.dodge.wi.us,https://www.co.dodge.wi.gov/departments/departments-p-z/veterans-service,,,wi_55027
Door,Beth Van Oss; Robert Walsh,"Government Center, Attn: Veterans Office,, 421 Nebraska St., Sturgeon Bay, WI 54235, Toll Free 888-743-1844 x 2226",920-746-2226; 920-746-2225,920-746-2519,bvanoss@co.door.wi.gov; rwalsh@co.door.wi.gov,http://www.co.door.wi.gov/localgov_departments_details.aspdeptid=57&locid=137,,,wi_55029
Douglas,Erick Hudson; Shonn Devroy; Carissa Skifstad,"1316 North 14th Street, Room 348, Superior, WI 54880",715-395-1331,715-395-1373,erick.hudson@douglascountywi.org; veterans@douglascountywi.org; shonn.devroy@douglascountywi.org; carissa.skifstad@douglascountywi.org,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55031
Dunn,Greg Quinn; Jessica Stark,"Dunn County Community Services, Building,3001 US Hwy 12 East, Suite 116, Menomonie, WI 54751",715-232-1646,715-231-6579,gquinn@co.dunn.wi.us; vet@co.dunn.wi.us,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55033
Eau Claire,"Eric Killen; Adam Kohls; Angela Deutschlander; Beth Risen, Administrative","Veteran Services, 721 Oxford Ave., Suite 1130, Eau Claire, WI 54703-5490",715-839-4744,715-839-6238,veterans@co.eau-claire.wi.us,https://www.eauclairecounty.gov/our-government/departments-and-facilities/department-directory/veteran-services,,,wi_55035
Florence,Ken Taylor,"Courthouse, 501 Lake Ave., Florence, WI 54121, P.O. Box 410",715-528-3446,715-528-4762,fcvso@co.florence.wi.us,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55037
Fond Du Lac,"David Tellefsen II; Rachael Peschke, Senior; Nicole Russell","160 S. Macy Street, Fond du Lac, WI 54935",920-929-3117,920-929-7079,david.tellefsen@fdlco.wi.gov; rachael.peschke@fdlco.wi.gov; nicole.russell@fdlco.wi.gov,http://www.fdlco.wi.gov/departments/departments-n-z/veterans,,,wi_55039
Forest,Robert Koplien,"Courthouse, Room #214, 200 E. Madison St., Crandon, WI 54520",715-478-3722,715-478-2035,robbkoplien@co.forest.wi.us,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55041
Forest County Potawatomi (Tribal),Clarence Daniels,"5416 Everybody's Rd., Crandon, WI  54520, No Email",(715) 478-7200,,,https://wicvso.org/locate-your-cvso-tvso/,,,
Grant,Ken McAndrew; Michael Ruga,"111 S. Jefferson #142, Lancaster, WI 53813-1666",608-723-2756,608-723-4048,veteran@co.grant.wi.gov; mruga@co.grant.wi.gov,https://wicvso.org/locate-your-cvso-tvso/,,,wi_55043
